,법정동명,공시가격
515,경기도 광주시 도척면 유정리,76542944.78527607
516,경기도 광주시 도척면 진우리,100858268.54784527
517,경기도 광주시 목동,44093123.06101345
518,경기도 광주시 목현동,115538400.77538164
519,경기도 광주시 삼동,111446652.54103284
520,경기도 광주시 송정동,145674376.37952408
521,경기도 광주시 실촌읍 곤지암리,117369514.0040136
522,경기도 광주시 실촌읍 만선리,38900000.0
523,경기도 광주시 실촌읍 삼리,99272966.1170502
524,경기도 광주시 실촌읍 수양리,48312169.31216931
525,경기도 광주시 실촌읍 신대리,34799086.75799087
526,경기도 광주시 실촌읍 신촌리,16991228.07017544
527,경기도 광주시 실촌읍 연곡리,49976190.47619048
528,경기도 광주시 실촌읍 열미리,38574412.53263708
529,경기도 광주시 실촌읍 이선리,60708333.33333334
530,경기도 광주시 실촌읍 장심리,185600000.0
531,경기도 광주시 쌍령동,161638012.42236024
532,경기도 광주시 역동,196977568.00560692
533,경기도 광주시 오포읍 고산리,152365826.40167633
534,경기도 광주시 오포읍 능평리,157525487.50571698
535,경기도 광주시 오포읍 매산리,108845847.56898816
536,경기도 광주시 오포읍 문형리,130921857.03063631
537,경기도 광주시 오포읍 신현리,188088694.05400407
538,경기도 광주시 오포읍 양벌리,139874080.95348656
539,경기도 광주시 오포읍 추자리,103136253.32623737
540,경기도 광주시 장지동,145433634.56387562
541,경기도 광주시 중대동,101120324.339636
542,경기도 광주시 중부면 검복리,77833333.33333333
543,경기도 광주시 중부면 불당리,77666666.66666667
544,경기도 광주시 직동,62017008.19672131
545,경기도 광주시 초월읍 늑현리,95375500.0
546,경기도 광주시 초월읍 대쌍령리,125282207.07251924
547,경기도 광주시 초월읍 도평리,152411882.7916086
548,경기도 광주시 초월읍 산이리,141008363.48365423
549,경기도 광주시 초월읍 선동리,68604201.68067227
550,경기도 광주시 초월읍 신월리,67449786.628734
551,경기도 광주시 초월읍 쌍동리,170226968.13563225
552,경기도 광주시 초월읍 용수리,88596953.35669991
553,경기도 광주시 초월읍 지월리,103403025.01179802
