address,경로당,보건소,유치원,카페
경기도 수원시 팔달구 중동,0,0,0,3
경기도 수원시 팔달구 지동,7,0,2,13
경기도 수원시 팔달구 팔달로1가,0,0,0,2
경기도 수원시 팔달구 팔달로2가,0,0,0,11
경기도 수원시 팔달구 팔달로3가,1,0,0,11
경기도 수원시 팔달구 화서동,25,0,6,54
경기도 시흥시 거모동,16,0,2,13
경기도 시흥시 계수동,3,0,1,2
경기도 시흥시 과림동,3,1,0,3
경기도 시흥시 광석동,1,0,1,1
경기도 시흥시 군자동,2,0,1,6
경기도 시흥시 금이동,2,0,0,0
경기도 시흥시 논곡동,4,0,2,4
경기도 시흥시 능곡동,13,0,3,27
경기도 시흥시 대야동,22,1,5,86
경기도 시흥시 도창동,3,0,1,3
경기도 시흥시 매화동,9,0,3,5
경기도 시흥시 목감동,4,0,0,20
경기도 시흥시 무지내동,2,0,0,0
경기도 시흥시 물왕동,2,0,0,11
경기도 시흥시 미산동,6,0,0,4
경기도 시흥시 방산동,2,0,0,1
경기도 시흥시 배곧동,0,0,9,0
경기도 시흥시 산현동,5,0,1,16
경기도 시흥시 신천동,23,0,5,66
경기도 시흥시 안현동,3,0,0,0
경기도 시흥시 월곶동,8,1,3,23
경기도 시흥시 은행동,22,0,9,62
경기도 시흥시 장곡동,8,0,4,20
경기도 시흥시 장현동,2,0,5,18
경기도 시흥시 정왕동,80,1,13,288
경기도 시흥시 조남동,18,0,4,27
경기도 시흥시 죽율동,3,0,1,3
경기도 시흥시 포동,7,1,1,3
경기도 시흥시 하상동,4,0,0,7
경기도 시흥시 하중동,6,1,3,14
경기도 안산시 건건동,0,1,0,0
경기도 안산시 고잔동,0,0,0,28
경기도 안산시 단원구 고잔동,43,0,13,230
경기도 안산시 단원구 대부남동,6,0,1,14
경기도 안산시 단원구 대부동동,6,0,1,5
경기도 안산시 단원구 대부북동,6,0,1,32
경기도 안산시 단원구 선감동,2,0,0,3
경기도 안산시 단원구 선부동,27,0,10,47
경기도 안산시 단원구 성곡동,0,0,0,7
경기도 안산시 단원구 신길동,16,0,4,14
경기도 안산시 단원구 와동,9,0,3,25
경기도 안산시 단원구 원곡동,9,0,2,57
경기도 안산시 단원구 원시동,0,0,0,15
경기도 안산시 단원구 초지동,13,0,9,57
경기도 안산시 단원구 풍도동,2,0,0,0
경기도 안산시 단원구 화정동,2,0,0,4
경기도 안산시 대부남동,0,1,0,0
경기도 안산시 대부북동,0,1,0,0
경기도 안산시 사동,0,1,0,39
경기도 안산시 상록구 건건동,5,0,3,22
경기도 안산시 상록구 본오동,20,0,7,86
경기도 안산시 상록구 부곡동,8,0,2,23
경기도 안산시 상록구 사동,30,0,13,103
경기도 안산시 상록구 사사동,6,0,0,3
경기도 안산시 상록구 성포동,9,0,3,20
경기도 안산시 상록구 수암동,3,0,2,11
경기도 안산시 상록구 양상동,2,0,0,1
경기도 안산시 상록구 월피동,11,0,3,32
경기도 안산시 상록구 이동,5,0,4,57
경기도 안산시 상록구 일동,5,0,3,29
경기도 안산시 상록구 장상동,5,0,0,2
경기도 안산시 상록구 장하동,2,0,0,2
경기도 안산시 상록구 팔곡이동,3,0,1,4
경기도 안산시 상록구 팔곡일동,3,0,0,2
경기도 안산시 수암동,0,1,0,0
경기도 안산시 신길동,0,0,0,8
경기도 안산시 원곡동,0,1,0,15
경기도 안산시 초지동,0,1,0,0
경기도 안산시 풍도동,0,1,0,0
경기도 안성시 가사동,3,0,0,5
경기도 안성시 가현동,2,0,0,1
경기도 안성시 계동,1,0,0,2
경기도 안성시 고삼면 가유리,5,1,1,5
경기도 안성시 고삼면 대갈리,2,0,0,0
경기도 안성시 고삼면 봉산리,2,0,0,0
경기도 안성시 고삼면 삼은리,1,0,0,0
경기도 안성시 고삼면 신창리,5,0,0,0
경기도 안성시 고삼면 쌍지리,5,1,0,0
경기도 안성시 고삼면 월향리,2,0,0,1
경기도 안성시 공도읍 건천리,1,1,0,0
경기도 안성시 공도읍 마정리,9,0,0,20
