,addr,초등학교,중학교,고등학교
529,경기도 안산시 상록구 성포동,3개,1개,1개
530,경기도 안산시 상록구 수암동,1개,0개,0개
531,경기도 안산시 상록구 월피동,2개,2개,1개
532,경기도 안산시 상록구 이동,2개,0개,1개
533,경기도 안산시 상록구 일동,1개,1개,0개
534,경기도 안산시 상록구 팔곡이동,1개,0개,0개
535,경기도 안성시 고삼면 가유리,1개,0개,0개
536,경기도 안성시 공도읍 만정리,1개,2개,1개
537,경기도 안성시 공도읍 양기리,1개,0개,0개
538,경기도 안성시 공도읍 용두리,2개,0개,0개
539,경기도 안성시 공도읍 진사리,1개,1개,0개
540,경기도 안성시 구포동 ,1개,0개,0개
541,경기도 안성시 금광면 개산리,1개,0개,0개
542,경기도 안성시 금광면 금광리,1개,0개,0개
543,경기도 안성시 금광면 사흥리,1개,0개,0개
544,경기도 안성시 당왕동 ,1개,0개,0개
545,경기도 안성시 대덕면 내리,1개,0개,0개
546,경기도 안성시 대덕면 모산리,1개,0개,0개
547,경기도 안성시 대덕면 신령리,1개,0개,0개
548,경기도 안성시 대덕면 진현리,1개,0개,0개
549,경기도 안성시 미양면 개정리,1개,0개,0개
550,경기도 안성시 미양면 보체리,1개,0개,0개
551,경기도 안성시 미양면 양지리,1개,0개,0개
552,경기도 안성시 보개면 동신리,1개,0개,0개
553,경기도 안성시 보개면 이전리,1개,0개,0개
554,경기도 안성시 삼죽면 덕산리,1개,0개,0개
555,경기도 안성시 삼죽면 마전리,1개,0개,0개
556,경기도 안성시 서운면 동촌리,1개,0개,0개
557,경기도 안성시 서운면 산평리,1개,0개,0개
558,경기도 안성시 서운면 현매리,1개,0개,0개
559,경기도 안성시 아양동 ,1개,0개,0개
560,경기도 안성시 양성면 노곡리,1개,0개,0개
561,경기도 안성시 양성면 동항리,1개,1개,0개
562,경기도 안성시 옥산동,1개,0개,0개
563,경기도 안성시 원곡면 내가천리,1개,0개,0개
564,경기도 안성시 일죽면 방초리,1개,0개,0개
565,경기도 안성시 일죽면 주천리,1개,0개,0개
566,경기도 안성시 일죽면 화곡리,1개,0개,0개
567,경기도 안성시 죽산면 두교리,1개,0개,0개
568,경기도 안성시 죽산면 죽산리,1개,1개,1개
569,경기도 안양시 동안구 관양동,6개,4개,3개
570,경기도 안양시 동안구 비산동,7개,3개,2개
571,경기도 안양시 동안구 평촌동,6개,2개,2개
572,경기도 안양시 동안구 호계동,7개,6개,2개
573,경기도 안양시 만안구 박달동,2개,1개,1개
574,경기도 안양시 만안구 석수동,5개,2개,1개
575,경기도 안양시 만안구 안양동,8개,6개,10개
576,경기도 양주시 고암동,1개,1개,1개
577,경기도 양주시 고암동 ,2개,0개,0개
578,경기도 양주시 고읍동 ,1개,0개,0개
579,경기도 양주시 광사동 ,1개,0개,0개
580,경기도 양주시 광적면 가납리,1개,1개,0개
581,경기도 양주시 광적면 덕도리,1개,0개,0개
582,경기도 양주시 광적면 석우리,1개,0개,0개
583,경기도 양주시 남면 상수리,1개,0개,0개
584,경기도 양주시 남면 신산리,1개,1개,1개
585,경기도 양주시 남면 한산리,1개,0개,0개
586,경기도 양주시 덕계동 ,3개,0개,0개
587,경기도 양주시 덕정동 ,2개,0개,0개
588,경기도 양주시 만송동 ,1개,0개,0개
589,경기도 양주시 백석읍 복지리,2개,1개,0개
590,경기도 양주시 백석읍 연곡리,1개,0개,0개
591,경기도 양주시 백석읍 오산리,1개,0개,1개
592,경기도 양주시 산북동,1개,0개,0개
593,경기도 양주시 삼숭동,1개,1개,1개
594,경기도 양주시 삼숭동 ,1개,0개,0개
595,경기도 양주시 옥정동,2개,1개,2개
596,경기도 양주시 옥정동 ,3개,0개,0개
597,경기도 양주시 유양동,1개,0개,0개
598,경기도 양주시 은현면 봉암리,1개,0개,0개
599,경기도 양주시 은현면 선암리,1개,0개,0개
600,경기도 양주시 은현면 하패리,1개,0개,0개
601,경기도 양주시 장흥면 교현리,1개,0개,0개
602,경기도 양주시 장흥면 삼상리,1개,0개,0개
603,경기도 양주시 회정동,1개,0개,0개
604,경기도 양평군 강상면 세월리,1개,0개,0개
605,경기도 양평군 강상면 신화리,1개,0개,0개
606,경기도 양평군 강하면 운심리,1개,0개,0개
607,경기도 양평군 개군면 하자포리,1개,0개,0개
608,경기도 양평군 단월면 보룡리,1개,1개,0개
609,경기도 양평군 서종면 문호리,1개,1개,0개
610,경기도 양평군 서종면 수입리,1개,0개,0개
611,경기도 양평군 서종면 정배리,1개,0개,0개
612,경기도 양평군 양동면 고송리,1개,0개,0개
613,경기도 양평군 양동면 석곡리,1개,0개,0개
614,경기도 양평군 양서면 도곡리,1개,0개,0개
615,경기도 양평군 양서면 용담리,1개,1개,1개
616,경기도 양평군 양서면 증동리,1개,0개,0개
617,경기도 양평군 양평읍 양근리,1개,1개,2개
618,경기도 양평군 양평읍 원덕리,1개,0개,0개
619,경기도 양평군 양평읍 창대리,1개,0개,0개
620,경기도 양평군 옥천면 옥천리,1개,0개,0개
621,경기도 양평군 용문면 광탄리,1개,0개,0개
622,경기도 양평군 용문면 다문리,1개,0개,0개
623,경기도 양평군 용문면 조현리,1개,0개,0개
624,경기도 양평군 지평면 곡수리,1개,0개,0개
625,경기도 양평군 지평면 지평리,1개,1개,1개
626,경기도 양평군 청운면 용두리,1개,1개,1개
627,경기도 여주시 가남읍 금당리,1개,0개,0개
628,경기도 여주시 가남읍 송림리,1개,0개,0개
629,경기도 여주시 가남읍 오산리,1개,0개,0개
630,경기도 여주시 가남읍 태평리,1개,0개,0개
631,경기도 여주시 강천면 간매리,1개,1개,0개
632,경기도 여주시 강천면 도전리,1개,0개,0개
633,경기도 여주시 교동,1개,1개,1개
634,경기도 여주시 금사면 이포리,1개,0개,0개
635,경기도 여주시 금사면 하호리,1개,0개,0개
636,경기도 여주시 능서면 마래리,1개,0개,0개
637,경기도 여주시 능서면 백석리,1개,0개,0개
638,경기도 여주시 능서면 신지리,1개,0개,0개
639,경기도 여주시 대신면 송촌리,1개,0개,0개
640,경기도 여주시 대신면 율촌리,1개,1개,1개
641,경기도 여주시 대신면 천남리,1개,0개,0개
642,경기도 여주시 북내면 당우리,1개,0개,0개
643,경기도 여주시 북내면 중암리,1개,0개,0개
644,경기도 여주시 산북면 상품리,1개,1개,0개
645,경기도 여주시 상동,1개,1개,1개
646,경기도 여주시 오학동 ,1개,0개,0개
647,경기도 여주시 월송동 ,1개,0개,0개
648,경기도 여주시 점동면 청안리,1개,1개,1개
649,경기도 여주시 점봉동 ,1개,0개,0개
650,경기도 여주시 창동,1개,0개,0개
651,경기도 여주시 흥천면 문장리,1개,0개,0개
652,경기도 여주시 흥천면 효지리,1개,1개,0개
653,경기도 연천군 군남면 진상리,1개,1개,0개
654,경기도 연천군 군남면 황지리,1개,0개,0개
655,경기도 연천군 미산면 우정리,1개,0개,0개
656,경기도 연천군 백학면 노곡리,1개,0개,0개
657,경기도 연천군 백학면 두일리,1개,1개,0개
658,경기도 연천군 신서면 도신리,1개,1개,0개
659,경기도 연천군 연천읍 상리,1개,0개,0개
660,경기도 연천군 연천읍 차탄리,1개,0개,0개
661,경기도 연천군 전곡읍 은대리,1개,0개,1개
662,경기도 연천군 전곡읍 전곡리,1개,1개,0개
663,경기도 연천군 청산면 궁평리,1개,1개,0개
664,경기도 연천군 청산면 백의리,1개,0개,0개
665,경기도 연천군 청산면 초성리,1개,0개,0개
666,경기도 오산시 가수동 ,2개,0개,0개
667,경기도 오산시 갈곶동 ,1개,0개,0개
668,경기도 오산시 고현동,1개,0개,0개
669,경기도 오산시 궐동 ,1개,0개,0개
670,경기도 오산시 금암동 ,3개,0개,0개
671,경기도 오산시 내삼미동,1개,0개,0개
672,경기도 오산시 부산동 ,2개,0개,0개
673,경기도 오산시 세교동,1개,1개,1개
674,경기도 오산시 수청동 ,3개,0개,0개
675,경기도 오산시 양산동 ,1개,0개,0개
676,경기도 오산시 오산동,1개,1개,0개
677,경기도 오산시 오산동 ,2개,0개,0개
678,경기도 오산시 외삼미동,1개,0개,0개
679,경기도 오산시 원동 ,4개,0개,0개
680,경기도 오산시 지곶동,1개,0개,0개
681,경기도 용인시 기흥구 공세동,3개,0개,0개
682,경기도 용인시 기흥구 구갈동,5개,1개,1개
683,경기도 용인시 기흥구 동백동,3개,2개,2개
684,경기도 용인시 기흥구 마북동,4개,1개,1개
685,경기도 용인시 기흥구 보라동,2개,2개,1개
686,경기도 용인시 기흥구 보정동,3개,2개,1개
687,경기도 용인시 기흥구 상갈동,2개,1개,1개
688,경기도 용인시 기흥구 상하동,2개,1개,0개
689,경기도 용인시 기흥구 서천동,2개,1개,0개
690,경기도 용인시 기흥구 신갈동,3개,3개,1개
691,경기도 용인시 기흥구 언남동,2개,1개,0개
692,경기도 용인시 기흥구 영덕동,4개,1개,1개
693,경기도 용인시 기흥구 중동,4개,2개,1개
694,경기도 용인시 기흥구 지곡동,1개,0개,0개
695,경기도 용인시 기흥구 청덕동,1개,1개,1개
696,경기도 용인시 수지구 고기동,1개,0개,0개
697,경기도 용인시 수지구 동천동,3개,2개,0개
698,경기도 용인시 수지구 상현동,7개,2개,2개
699,경기도 용인시 수지구 성복동,3개,2개,1개
700,경기도 용인시 수지구 신봉동,4개,2개,2개
701,경기도 용인시 수지구 죽전동,8개,4개,3개
702,경기도 용인시 수지구 풍덕천동,6개,4개,2개
703,경기도 용인시 처인구 고림동,1개,1개,2개
704,경기도 용인시 처인구 김량장동,2개,2개,0개
705,경기도 용인시 처인구 남사면,4개,2개,0개
706,경기도 용인시 처인구 마평동,1개,0개,0개
707,경기도 용인시 처인구 모현읍,3개,1개,1개
708,경기도 용인시 처인구 백암면,4개,1개,1개
709,경기도 용인시 처인구 삼가동,1개,0개,0개
710,경기도 용인시 처인구 양지면,3개,1개,0개
711,경기도 용인시 처인구 역북동,2개,0개,1개
712,경기도 용인시 처인구 운학동,1개,0개,0개
713,경기도 용인시 처인구 원삼면,3개,2개,0개
714,경기도 용인시 처인구 유방동,1개,0개,0개
715,경기도 용인시 처인구 이동읍,3개,2개,1개
716,경기도 용인시 처인구 포곡읍,3개,2개,2개
717,경기도 의왕시 고천동 ,1개,0개,0개
718,경기도 의왕시 내손동,1개,1개,1개
719,경기도 의왕시 내손동 ,3개,0개,0개
720,경기도 의왕시 삼동,1개,0개,1개
721,경기도 의왕시 삼동 ,1개,0개,0개
722,경기도 의왕시 오전동,1개,3개,0개
723,경기도 의왕시 오전동 ,2개,0개,0개
724,경기도 의왕시 왕곡동 ,1개,0개,0개
725,경기도 의왕시 청계동,1개,1개,0개
726,경기도 의왕시 포일동 ,1개,0개,0개
727,경기도 의왕시 학의동 산,1개,0개,0개
728,경기도 의정부시 가능동 ,2개,0개,0개
729,경기도 의정부시 고산동,2개,0개,0개
730,경기도 의정부시 금오동 ,2개,0개,0개
731,경기도 의정부시 낙양동 ,1개,0개,0개
732,경기도 의정부시 녹양동 ,2개,0개,0개
733,경기도 의정부시 민락동 ,5개,0개,0개
734,경기도 의정부시 신곡동 ,8개,0개,0개
735,경기도 의정부시 용현동,1개,1개,1개
736,경기도 의정부시 용현동 ,2개,0개,0개
737,경기도 의정부시 의정부동,2개,0개,1개
738,경기도 의정부시 의정부동 ,1개,0개,0개
739,경기도 의정부시 장암동 ,2개,0개,0개
740,경기도 의정부시 호원동,1개,2개,1개
741,경기도 의정부시 호원동 ,3개,0개,0개
742,경기도 이천시 단월동 ,1개,0개,0개
743,경기도 이천시 대월면 사동리,1개,1개,0개
744,경기도 이천시 대월면 초지리,1개,1개,0개
745,경기도 이천시 마장면 목리,1개,0개,0개
746,경기도 이천시 마장면 오천리,1개,0개,0개
747,경기도 이천시 모가면 송곡리,1개,0개,0개
748,경기도 이천시 모가면 진가리,1개,0개,0개
749,경기도 이천시 백사면 도지리,1개,0개,0개
750,경기도 이천시 백사면 현방리,1개,0개,0개
751,경기도 이천시 부발읍 가산리,1개,0개,0개
752,경기도 이천시 부발읍 무촌리,1개,1개,0개
753,경기도 이천시 부발읍 신하리,1개,0개,0개
754,경기도 이천시 부발읍 아미리,1개,0개,0개
755,경기도 이천시 설성면 장천리,1개,0개,0개
756,경기도 이천시 설성면 행죽리,1개,0개,0개
757,경기도 이천시 송정동 ,1개,0개,0개
758,경기도 이천시 신둔면 도암리,1개,0개,0개
759,경기도 이천시 신둔면 수광리,1개,0개,0개
760,경기도 이천시 안흥동,1개,1개,1개
761,경기도 이천시 율면 고당리,1개,1개,1개
762,경기도 이천시 장호원읍 나래리,1개,0개,0개
763,경기도 이천시 장호원읍 대서리,1개,0개,0개
764,경기도 이천시 장호원읍 이황리,1개,0개,0개
765,경기도 이천시 장호원읍 진암리,1개,0개,0개
766,경기도 이천시 중리동 ,1개,0개,0개
767,경기도 이천시 증포동,1개,1개,1개
768,경기도 이천시 증포동 ,1개,0개,0개
769,경기도 이천시 창전동,2개,1개,0개
770,경기도 이천시 호법면 매곡리,1개,0개,0개
771,경기도 이천시 호법면 후안리,1개,0개,0개
772,경기도 파주시 검산동 ,1개,0개,0개
773,경기도 파주시 광탄면 신산리,1개,1개,1개
774,경기도 파주시 광탄면 용미리,1개,0개,1개
775,경기도 파주시 광탄면 창만리,1개,0개,0개
776,경기도 파주시 교하동 ,1개,0개,0개
777,경기도 파주시 군내면 백연리,1개,0개,0개
778,경기도 파주시 군내면 조산리,1개,0개,0개
779,경기도 파주시 금촌동 ,6개,0개,0개
780,경기도 파주시 다율동 ,1개,0개,0개
781,경기도 파주시 동패동,2개,3개,2개
782,경기도 파주시 동패동 ,3개,0개,0개
783,경기도 파주시 목동동 ,5개,0개,0개
784,경기도 파주시 문발동 ,1개,0개,0개
785,경기도 파주시 문산읍 당동리,1개,1개,2개
786,경기도 파주시 문산읍 마정리,1개,0개,0개
787,경기도 파주시 문산읍 문산리,2개,1개,0개
788,경기도 파주시 문산읍 선유리,1개,1개,0개
789,경기도 파주시 문산읍 이천리,1개,0개,0개
790,경기도 파주시 법원읍 법원리,1개,1개,1개
791,경기도 파주시 법원읍 웅담리,1개,0개,0개
792,경기도 파주시 아동동 ,1개,0개,0개
793,경기도 파주시 야당동,1개,2개,1개
794,경기도 파주시 야당동 ,2개,0개,0개
795,경기도 파주시 와동동,2개,2개,1개
796,경기도 파주시 와동동 ,1개,0개,0개
797,경기도 파주시 월롱면 덕은리,1개,0개,0개
798,경기도 파주시 월롱면 위전리,1개,0개,0개
799,경기도 파주시 적성면 마지리,1개,0개,1개
800,경기도 파주시 적성면 식현리,1개,1개,1개
801,경기도 파주시 적성면 적암리,1개,0개,0개
802,경기도 파주시 조리읍 뇌조리,1개,0개,0개
803,경기도 파주시 조리읍 능안리,1개,0개,0개
804,경기도 파주시 조리읍 대원리,1개,0개,0개
805,경기도 파주시 조리읍 봉일천리,1개,1개,1개
806,경기도 파주시 탄현면 갈현리,1개,0개,0개
807,경기도 파주시 탄현면 금승리,1개,0개,0개
808,경기도 파주시 탄현면 법흥리,1개,0개,0개
809,경기도 파주시 탄현면 축현리,1개,1개,0개
810,경기도 파주시 파주읍 연풍리,1개,1개,1개
811,경기도 파주시 파주읍 파주리,1개,0개,0개
812,경기도 파주시 파평면 눌노리,1개,0개,0개
813,경기도 파주시 파평면 두포리,1개,0개,0개
814,경기도 파주시 파평면 장파리,1개,0개,0개
815,경기도 평택시 가재동 ,1개,0개,0개
816,경기도 평택시 고덕면 방축리,1개,0개,0개
817,경기도 평택시 고덕면 여염리,1개,0개,0개
818,경기도 평택시 군문동 ,1개,0개,0개
819,경기도 평택시 동삭동,2개,0개,0개
820,경기도 평택시 동삭동 ,1개,0개,0개
821,경기도 평택시 비전동,2개,6개,6개
822,경기도 평택시 비전동 ,4개,0개,0개
823,경기도 평택시 서정동 ,4개,0개,0개
824,경기도 평택시 서탄면 금암리,1개,0개,0개
825,경기도 평택시 서탄면 수월암리,1개,0개,0개
826,경기도 평택시 세교동 ,3개,0개,0개
827,경기도 평택시 소사동 산,1개,0개,0개
828,경기도 평택시 신장동 ,1개,0개,0개
829,경기도 평택시 안중읍 안중리,1개,0개,1개
830,경기도 평택시 안중읍 현화리,3개,3개,2개
831,경기도 평택시 오성면 신리,1개,0개,0개
832,경기도 평택시 오성면 죽리,1개,0개,0개
833,경기도 평택시 용이동 ,3개,0개,0개
834,경기도 평택시 이충동 ,2개,0개,0개
835,경기도 평택시 장당동 ,1개,0개,0개
836,경기도 평택시 죽백동 ,2개,0개,0개
837,경기도 평택시 지산동 ,3개,0개,0개
838,경기도 평택시 진위면 갈곶리,1개,0개,0개
839,경기도 평택시 진위면 봉남리,1개,0개,0개
840,경기도 평택시 진위면 은산리,1개,0개,0개
841,경기도 평택시 청북읍 삼계리,1개,0개,0개
842,경기도 평택시 청북읍 어연리,1개,0개,0개
843,경기도 평택시 청북읍 옥길리,2개,1개,1개
844,경기도 평택시 청북읍 현곡리,1개,0개,0개
845,경기도 평택시 칠원동,1개,0개,0개
846,경기도 평택시 팽성읍 객사리,1개,0개,0개
847,경기도 평택시 팽성읍 본정리,1개,0개,0개
848,경기도 평택시 팽성읍 송화리,2개,1개,1개
849,경기도 평택시 평택동 ,1개,0개,0개
850,경기도 평택시 포승읍 내기리,1개,0개,0개
851,경기도 평택시 포승읍 도곡리,1개,1개,0개
852,경기도 평택시 포승읍 신영리,1개,0개,0개
853,경기도 평택시 포승읍 원정리,1개,0개,0개
854,경기도 평택시 포승읍 홍원리,1개,0개,0개
855,경기도 평택시 합정동,1개,0개,1개
856,경기도 평택시 합정동 ,1개,0개,0개
857,경기도 평택시 현덕면 권관리,1개,0개,0개
858,경기도 평택시 현덕면 대안리,1개,0개,0개
859,경기도 평택시 현덕면 인광리,1개,0개,0개
860,경기도 포천시 가산면 감암리,1개,1개,0개
861,경기도 포천시 가산면 마산리,1개,0개,0개
862,경기도 포천시 가산면 정교리,1개,0개,0개
863,경기도 포천시 관인면 중리,1개,0개,0개
864,경기도 포천시 관인면 탄동리,1개,1개,1개
865,경기도 포천시 군내면 직두리,1개,0개,0개
866,경기도 포천시 내촌면 내리,1개,0개,0개
867,경기도 포천시 선단동 ,1개,0개,0개
868,경기도 포천시 소흘읍 송우리,4개,3개,2개
869,경기도 포천시 소흘읍 이곡리,1개,0개,0개
870,경기도 포천시 소흘읍 이동교리,1개,0개,0개
871,경기도 포천시 신북면 가채리,1개,2개,0개
872,경기도 포천시 신북면 계류리,1개,0개,0개
873,경기도 포천시 신북면 삼정리,1개,0개,0개
874,경기도 포천시 신북면 신평리,1개,0개,0개
875,경기도 포천시 신읍동 ,1개,0개,0개
876,경기도 포천시 영북면 운천리,1개,1개,1개
877,경기도 포천시 영중면 금주리,1개,0개,0개
878,경기도 포천시 영중면 성동리,1개,0개,0개
879,경기도 포천시 영중면 영평리,1개,0개,0개
880,경기도 포천시 이동면 노곡리,1개,0개,0개
881,경기도 포천시 이동면 도평리,1개,0개,0개
882,경기도 포천시 이동면 장암리,1개,1개,0개
883,경기도 포천시 일동면 기산리,1개,1개,1개
884,경기도 포천시 일동면 화대리,1개,0개,0개
885,경기도 포천시 창수면 추동리,1개,0개,0개
886,경기도 포천시 화현면 지현리,1개,0개,0개
887,경기도 포천시 화현면 화현리,1개,0개,0개
888,경기도 하남시 감이동 ,2개,0개,0개
889,경기도 하남시 감일동,1개,0개,0개
890,경기도 하남시 감일동 ,1개,0개,0개
891,경기도 하남시 덕풍동 ,4개,0개,0개
892,경기도 하남시 망월동,1개,2개,2개
893,경기도 하남시 망월동 ,3개,0개,0개
894,경기도 하남시 선동 ,1개,0개,0개
895,경기도 하남시 신장동 ,3개,0개,0개
896,경기도 하남시 창우동 ,2개,0개,0개
897,경기도 하남시 풍산동 ,2개,0개,0개
898,경기도 하남시 하사창동 ,1개,0개,0개
899,경기도 하남시 하산곡동 ,1개,0개,0개
900,경기도 하남시 학암동,2개,1개,1개
901,경기도 화성시 기산동 ,1개,0개,0개
902,경기도 화성시 기안동 ,1개,0개,0개
903,경기도 화성시 남양읍 남양리,3개,2개,1개
904,경기도 화성시 남양읍 안석리,1개,0개,0개
905,경기도 화성시 능동,1개,2개,1개
906,경기도 화성시 능동 ,2개,0개,0개
907,경기도 화성시 마도면 석교리,1개,1개,0개
908,경기도 화성시 마도면 청원리,1개,0개,0개
909,경기도 화성시 매송면 송라리,1개,0개,0개
910,경기도 화성시 매송면 원평리,1개,0개,0개
911,경기도 화성시 목동,2개,0개,1개
912,경기도 화성시 목동 ,1개,0개,0개
913,경기도 화성시 반송동 ,7개,0개,0개
914,경기도 화성시 반월동,1개,2개,1개
915,경기도 화성시 반월동 ,3개,0개,0개
916,경기도 화성시 배양동 ,1개,0개,0개
917,경기도 화성시 병점동,2개,2개,2개
918,경기도 화성시 병점동 ,4개,0개,0개
919,경기도 화성시 봉담읍 동화리,3개,2개,1개
920,경기도 화성시 봉담읍 상리,1개,1개,0개
921,경기도 화성시 봉담읍 수기리,1개,0개,0개
922,경기도 화성시 봉담읍 수영리,2개,1개,0개
923,경기도 화성시 봉담읍 와우리,1개,0개,0개
924,경기도 화성시 봉담읍 유리,1개,0개,0개
925,경기도 화성시 비봉면 삼화리,1개,1개,0개
926,경기도 화성시 비봉면 청요리,1개,0개,0개
927,경기도 화성시 산척동,1개,0개,0개
928,경기도 화성시 산척동 ,1개,0개,0개
929,경기도 화성시 산척동 산,1개,1개,1개
930,경기도 화성시 새솔동,2개,1개,0개
931,경기도 화성시 서신면 궁평리,1개,0개,0개
932,경기도 화성시 서신면 매화리,1개,0개,0개
933,경기도 화성시 석우동 ,2개,0개,0개
934,경기도 화성시 송동 산,1개,0개,0개
935,경기도 화성시 송산동 ,1개,0개,0개
936,경기도 화성시 송산면 고정리,1개,0개,0개
937,경기도 화성시 송산면 마산리,1개,0개,0개
938,경기도 화성시 송산면 사강리,1개,1개,1개
939,경기도 화성시 안녕동 ,1개,0개,0개
940,경기도 화성시 양감면 사창리,1개,0개,0개
941,경기도 화성시 양감면 신왕리,1개,1개,0개
942,경기도 화성시 영천동,1개,1개,1개
943,경기도 화성시 영천동 ,4개,0개,0개
944,경기도 화성시 오산동,1개,1개,1개
945,경기도 화성시 오산동 ,1개,0개,0개
946,경기도 화성시 우정읍 석천리,1개,0개,0개
947,경기도 화성시 우정읍 조암리,1개,1개,1개
948,경기도 화성시 우정읍 화수리,1개,0개,0개
949,경기도 화성시 장안면 노진리,1개,0개,0개
950,경기도 화성시 장안면 석포리,1개,0개,0개
951,경기도 화성시 장안면 어은리,1개,0개,0개
952,경기도 화성시 장안면 장안리,2개,0개,0개
953,경기도 화성시 장지동,1개,1개,1개
954,경기도 화성시 장지동 ,3개,0개,0개
955,경기도 화성시 정남면 망월리,1개,0개,0개
956,경기도 화성시 정남면 발산리,1개,0개,0개
957,경기도 화성시 진안동 ,2개,0개,0개
958,경기도 화성시 청계동,3개,2개,1개
959,경기도 화성시 청계동 ,3개,0개,0개
960,경기도 화성시 팔탄면 구장리,1개,0개,0개
961,경기도 화성시 팔탄면 노하리,1개,0개,0개
962,경기도 화성시 팔탄면 월문리,1개,0개,0개
963,경기도 화성시 향남읍 갈천리,1개,0개,0개
964,경기도 화성시 향남읍 발안리,1개,0개,0개
965,경기도 화성시 향남읍 백토리,1개,0개,0개
966,경기도 화성시 향남읍 상신리,1개,0개,0개
967,경기도 화성시 향남읍 하길리,2개,1개,1개
968,경기도 화성시 향남읍 행정리,4개,1개,2개
969,인천광역시 강화군 강화읍 갑곳리,1개,1개,0개
970,인천광역시 강화군 강화읍 관청리,1개,1개,1개
971,인천광역시 강화군 강화읍 대산리,1개,0개,0개
972,인천광역시 강화군 강화읍 신문리,1개,0개,0개
973,인천광역시 강화군 교동면 대룡리,1개,1개,1개
974,인천광역시 강화군 교동면 삼선리,1개,0개,0개
975,인천광역시 강화군 길상면 온수리,1개,1개,1개
976,인천광역시 강화군 내가면 고천리,1개,0개,1개
977,인천광역시 강화군 불은면 두운리,1개,0개,0개
978,인천광역시 강화군 불은면 삼성리,1개,0개,0개
979,인천광역시 강화군 삼산면 매음리,1개,0개,0개
980,인천광역시 강화군 삼산면 석모리,1개,1개,0개
981,인천광역시 강화군 서도면 주문도리,1개,1개,1개
982,인천광역시 강화군 선원면 냉정리,1개,0개,0개
983,인천광역시 강화군 송해면 솔정리,1개,0개,0개
984,인천광역시 강화군 양도면 삼흥리,1개,0개,1개
985,인천광역시 강화군 양도면 조산리,1개,0개,0개
986,인천광역시 강화군 양사면 덕하리,1개,0개,0개
987,인천광역시 강화군 하점면 망월리,1개,0개,0개
988,인천광역시 강화군 하점면 신봉리,1개,0개,0개
989,인천광역시 강화군 화도면 상방리,1개,1개,0개
990,인천광역시 계양구 계산동,7개,3개,2개
991,인천광역시 계양구 귤현동,1개,1개,0개
992,인천광역시 계양구 동양동,1개,1개,0개
993,인천광역시 계양구 박촌동,1개,0개,0개
994,인천광역시 계양구 병방동,2개,2개,1개
995,인천광역시 계양구 상야동,1개,0개,0개
996,인천광역시 계양구 서운동,1개,1개,1개
997,인천광역시 계양구 용종동,2개,0개,1개
998,인천광역시 계양구 작전동,4개,1개,3개
999,인천광역시 계양구 장기동,1개,0개,0개
1000,인천광역시 계양구 효성동,4개,3개,1개
1001,인천광역시 계양구 효성동 ,1개,0개,0개
1002,인천광역시 계양구 효성동 산,1개,0개,0개
1003,인천광역시 남동구 간석동,5개,4개,5개
1004,인천광역시 남동구 구월동,8개,5개,0개
1005,인천광역시 남동구 남촌동,1개,0개,0개
1006,인천광역시 남동구 논현동,9개,3개,4개
1007,인천광역시 남동구 논현동 ,1개,2개,2개
1008,인천광역시 남동구 도림동,1개,0개,0개
1009,인천광역시 남동구 만수동,10개,6개,4개
1010,인천광역시 남동구 서창동,4개,2개,1개
1011,인천광역시 동구 송림동,4개,1개,3개
1012,인천광역시 동구 송현동,1개,0개,0개
1013,인천광역시 동구 창영동,2개,0개,1개
1014,인천광역시 동구 화수동,1개,1개,0개
1015,인천광역시 미추홀구 관교동,2개,3개,0개
1016,인천광역시 미추홀구 도화동,3개,3개,5개
1017,인천광역시 미추홀구 문학동,1개,0개,1개
1018,인천광역시 미추홀구 숭의동,2개,1개,0개
1019,인천광역시 미추홀구 용현동,3개,2개,1개
1020,인천광역시 미추홀구 용현동 ,1개,0개,0개
1021,인천광역시 미추홀구 주안동,6개,1개,2개
1022,인천광역시 미추홀구 학익동,4개,1개,4개
1023,인천광역시 미추홀구 학익동 ,1개,1개,0개
1024,인천광역시 부평구 갈산동,3개,1개,1개
1025,인천광역시 부평구 구산동,1개,0개,0개
1026,인천광역시 부평구 부개동,5개,5개,5개
1027,인천광역시 부평구 부개동 ,1개,0개,0개
1028,인천광역시 부평구 부평동,7개,4개,2개
1029,인천광역시 부평구 산곡동,9개,2개,6개
1030,인천광역시 부평구 산곡동 산,1개,0개,0개
1031,인천광역시 부평구 삼산동,5개,3개,3개
1032,인천광역시 부평구 삼산동 ,1개,0개,0개
1033,인천광역시 부평구 십정동,6개,3개,2개
1034,인천광역시 부평구 일신동,1개,0개,0개
1035,인천광역시 부평구 청천동,2개,1개,0개
1036,인천광역시 서구 가정동,3개,0개,1개
1037,인천광역시 서구 가좌동,4개,4개,2개
1038,인천광역시 서구 가좌동 ,1개,0개,0개
1039,인천광역시 서구 검암동,2개,2개,1개
1040,인천광역시 서구 검암동 ,1개,0개,0개
1041,인천광역시 서구 경서동,2개,0개,0개
1042,인천광역시 서구 공촌동,1개,0개,1개
1043,인천광역시 서구 금곡동,1개,0개,0개
1044,인천광역시 서구 당하동,3개,1개,1개
1045,인천광역시 서구 당하동 ,2개,0개,0개
1046,인천광역시 서구 마전동,2개,1개,2개
1047,인천광역시 서구 마전동 산,2개,0개,0개
1048,인천광역시 서구 불로동,2개,1개,0개
1049,인천광역시 서구 석남동,4개,2개,1개
