,address,공시가격,좌표,초등학교,중학교,고등학교,학원,유치원 및 어린이집,병의원 및 약국,보건소,응급의료기관시설,백화점,대형마트,복합쇼핑센터,시장,헬스장,수영장,체육관,공원,영화관,카페,도서관,놀이터,경로당,사회복지관,등산로,산책로,미세먼지,범죄안전등급,경찰관서,여성안심지킴이집
101,서울특별시 마포구 신공덕동,934689632.1,"37.544374,126.956854",0,0,0,19,1,23,0,0,0,1,0,0,0,0,0,1,0,12,1,0,10,1,0,0,34,3,0,1
102,서울특별시 마포구 신수동,880025358.9,"37.547351,126.937074",1,2,1,34,2,18,0,1,0,0,0,1,1,0,0,1,0,44,0,1,11,0,0,0,34,3,0,0
103,서울특별시 마포구 신정동,1040500000.0,"37.544210,126.930866",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,34,3,0,0
104,서울특별시 마포구 아현동,1059267187.0,"37.555483,126.955998",2,1,2,62,2,70,1,0,0,0,0,0,1,2,0,3,0,29,2,3,13,0,0,0,34,3,1,0
105,서울특별시 마포구 연남동,767355825.2,"37.562962,126.921783",0,0,0,18,2,13,0,0,0,0,0,1,0,0,0,0,0,162,0,2,5,0,0,0,34,3,1,5
106,서울특별시 마포구 염리동,1224230172.0,"37.551546,126.947279",2,2,2,73,4,28,0,0,0,0,0,0,1,0,0,0,0,28,0,0,10,0,0,0,34,3,0,0
107,서울특별시 마포구 용강동,835240740.7,"37.541967,126.940414",0,0,0,18,0,7,0,0,0,0,0,0,0,1,0,2,0,18,1,1,4,0,0,0,34,3,1,0
108,서울특별시 마포구 중동,630105288.5,"37.570400,126.907656",1,1,0,29,0,19,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,0,0,0,34,3,0,0
109,서울특별시 마포구 창전동,951364280.3,"37.550966,126.929835",0,0,0,67,0,16,0,0,0,0,0,0,2,0,0,2,0,19,1,2,8,0,0,0,34,3,1,0
110,서울특별시 마포구 토정동,956379310.3,"37.540350,126.940474",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,3,0,0
111,서울특별시 마포구 하중동,1901541667.0,"37.545750,126.928674",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,3,0,0
