address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
경기도 광주시 목동,44093123.06,"37.382945,127.203164",0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
경기도 광주시 오포읍 고산리,152365826.4,"37.373915,127.231579",0,0,0,0,0,1,2,1,0,0,0,0,5,0,0,1,0,0,0,0,0,4,0
경기도 광주시 오포읍 신현리,188088694.1,"37.365672,127.159794",2,1,0,2,41,23,11,0,3,0,0,0,43,1,0,1,0,0,0,0,0,14,2
경기도 광주시 오포읍 능평리,157525487.5,"37.350386,127.167704",0,0,0,0,16,15,6,1,4,0,0,0,34,0,0,1,0,0,0,0,0,9,0
경기도 광주시 오포읍 문형리,130921857,"37.346977,127.205677",0,0,0,0,0,4,1,0,1,0,0,0,24,0,0,0,0,0,0,0,0,7,0
경기도 광주시 오포읍 추자리,103136253.3,"37.362317,127.223212",1,0,0,1,11,3,1,0,0,0,0,0,15,1,1,0,0,0,0,0,0,2,1
경기도 광주시 오포읍 매산리,108845847.6,"37.357263,127.250282",0,0,0,0,2,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0
경기도 광주시 오포읍 양벌리,139874081,"37.377830,127.252811",2,1,0,3,69,21,6,0,5,3,0,0,32,1,1,1,0,0,0,0,0,12,3
경기도 광주시 초월읍 대쌍령리,125282207.1,"37.386497,127.286730",0,0,0,0,5,5,2,0,0,0,0,0,11,0,0,1,0,0,0,0,0,5,0
경기도 광주시 초월읍 쌍동리,170226968.1,"37.371226,127.298889",1,1,0,1,27,5,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,1
